añomes,es_fin_de_semana,CANT_VIAJES,DURACION_VIAJE_PROMEDIO
201901,0.0,103236,16.749842432226625
201901,1.0,22677,17.120383354647128
201902,0.0,70363,19.11780031171683
201902,1.0,14707,17.594354162417076
201903,0.0,143909,29.481084111023804
201903,1.0,52954,49.85862100439424
201904,0.0,171501,29.795868148484193
201904,1.0,43547,49.554853376811245
201905,0.0,430360,27.21192017535752
201905,1.0,125161,39.60398713124179
201906,0.0,551956,26.03737649981702
201906,1.0,214096,36.304777841092985
201907,0.0,664291,25.492475511484944
201907,1.0,181061,35.58649387039005
201908,0.0,510955,27.063516454481483
201908,1.0,158102,42.294350798851355
201909,0.0,433022,28.096518922056866
201909,1.0,149193,47.10345547936778
201910,0.0,496045,28.098782704525796
201910,1.0,128549,45.296222970748474
201911,0.0,354407,31.34983093825306
201911,1.0,102115,50.62186603339395
201912,0.0,259641,33.92293416679201
201912,1.0,78915,52.87628988996641
202001,0.0,124737,31.836026065508
202001,1.0,32045,52.78580329744614
202002,0.0,87789,28.62990086077609
202002,1.0,27461,47.25037325661862
202003,0.0,40514,25.46728332592834
202003,1.0,11490,40.6090789091963
202005,0.0,15079,20.050111634281663
202005,1.0,4821,23.23941091059957
202006,0.0,52633,20.092910658079095
202006,1.0,16529,22.79129610583413
202007,0.0,73025,20.127807143672236
202007,1.0,24567,23.93185913352607
202008,0.0,160248,21.914886405238907
202008,1.0,85996,26.88284396948669
202009,0.0,198436,21.298025307908116
202009,1.0,72913,26.053260278231043
202010,0.0,231451,20.92735157765565
202010,1.0,88355,24.050170901476914
202011,0.0,236702,20.5278973843344
202011,1.0,91924,24.581289072132297
202012,0.0,229468,20.020340236256473
202012,1.0,75144,22.217434525710775
202101,0.0,197879,19.536296423571912
202101,1.0,76108,21.9632007585709
202102,0.0,225551,19.472265622113547
202102,1.0,83586,22.290557230477226
202103,0.0,254219,18.8641652145064
202103,1.0,41507,24.051386513118043
202104,0.0,204117,19.591089587507636
202104,1.0,26455,28.58439614439616
202105,0.0,157426,19.81196181062797
202105,1.0,32450,29.743836671802768
202106,0.0,9036,18.689831415080356
